"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","location","lat","lon"
221108455,2022-04-28,2022-04-25,200,11,"Northeast",1172,2,940,"EXTORTION",43,"M","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",940,"1600    RENDALL                      PL",34.0882,-118.2698
221318757,2022-10-04,2022-10-01,1,13,"Newton",1385,2,354,"THEFT OF IDENTITY",27,"F","H",605,"AUTOMATED TELLER MACHINE (ATM)","IC","Invest Cont",354,"6000    AVALON                       BL",33.9852,-118.2652
232009434,2023-05-07,2023-03-16,530,20,"Olympic",2045,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",33,"M","B",123,"PARKING UNDERGROUND/BUILDING","IC","Invest Cont",331,"800 S  MARIPOSA                     AV",34.0577,-118.2987
221110428,2022-06-14,2022-06-14,2150,11,"Northeast",1109,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",28,"X","X",504,"OTHER RESIDENCE","AA","Adult Arrest",745,"7500 N  FIGUEROA                     ST",34.1416,-118.1863
201409438,2020-04-09,2020-04-09,615,14,"Pacific",1464,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",22,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",440,"12700    MILLENNIUM",33.9771,-118.4137
202004987,2020-01-22,2020-01-22,1315,20,"Olympic",2004,2,888,"TRESPASSING",28,"X","X",506,"ABANDONED BUILDING ABANDONED HOUSE","IC","Invest Cont",888,"600 N  OXFORD                       AV",34.0817,-118.308
241814817,2024-11-21,2024-11-20,1600,18,"Southeast",1824,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"103RD                        ST",33.9433,-118.2541
201210509,2020-04-07,2020-04-06,2030,12,"77th Street",1265,1,330,"BURGLARY FROM VEHICLE",28,"X","X",101,"STREET","IC","Invest Cont",330,"1100 W  81ST                         ST",33.9657,-118.2941
220506771,2022-03-14,2022-03-13,1900,5,"Harbor",515,1,510,"VEHICLE - STOLEN",28,"M","X",101,"STREET","IC","Invest Cont",510,"1600 N  AVALON                       BL",33.7948,-118.2694
210911983,2021-07-22,2021-07-20,1445,9,"Van Nuys",955,2,624,"BATTERY - SIMPLE ASSAULT",32,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",624,"14400    CHANDLER                     BL",34.1686,-118.4467
231518877,2023-11-28,2023-11-20,1435,15,"N Hollywood",1526,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",43,"F","A",124,"BUS STOP","IC","Invest Cont",440,"VICTORY                      BL",34.1867,-118.3878
200812724,2020-08-06,2020-08-03,1800,8,"West LA",851,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",52,"F","A",123,"PARKING UNDERGROUND/BUILDING","IC","Invest Cont",341,"1500    AMHERST                      AV",34.0392,-118.4633
231513370,2023-08-09,2023-08-07,2100,15,"N Hollywood",1548,1,330,"BURGLARY FROM VEHICLE",47,"F","B",101,"STREET","IC","Invest Cont",330,"5300    LANKERSHIM                   BL",34.167,-118.3759
210412112,2021-08-24,2021-08-23,2000,4,"Hollenbeck",424,1,510,"VEHICLE - STOLEN",28,"F","X",707,"GARAGE/CARPORT","IC","Invest Cont",510,"2100    LINCOLN PARK                 AV",34.0692,-118.2025
200809304,2020-05-11,2020-05-11,1320,8,"West LA",884,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",41,"F","W",119,"PORCH, RESIDENTIAL","IC","Invest Cont",440,"2300    CAMDEN                       AV",34.0398,-118.4349
211422768,2021-12-11,2021-12-11,1030,14,"Pacific",1414,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",37,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",745,"700    ROSE                         AV",34.0003,-118.4698
240305656,2024-01-29,2024-01-27,30,3,"Southwest",328,1,352,"PICKPOCKET",24,"F","W",735,"NIGHT CLUB (OPEN EVENINGS ONLY)","IC","Invest Cont",352,"600 W  JEFFERSON                    BL",34.0225,-118.2812
232004515,2023-01-03,2022-12-30,1015,20,"Olympic",2041,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",19,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",440,"4000    COUNTRY CLUB                 DR",34.0543,-118.3193
212018237,2021-12-13,2021-12-13,1130,20,"Olympic",2099,2,850,"INDECENT EXPOSURE",36,"M","H",203,"OTHER BUSINESS","IC","Invest Cont",850,"1400 W  WASHINGTON                   BL",34.04,-118.287
230121278,2023-10-06,2023-08-15,2100,1,"Central",119,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",62,"F","W",834,"LA UNION STATION (NOT LINE SPECIFIC)","IC","Invest Cont",341,"800 N  ALAMEDA                      ST",34.0561,-118.2375
221706647,2022-03-08,2022-03-08,700,17,"Devonshire",1747,2,940,"EXTORTION",54,"F","O",103,"ALLEY","IC","Invest Cont",940,"16900    BLACKHAWK                    ST",34.2589,-118.5006
221401007,2022-08-03,2022-08-03,1545,14,"Pacific",1415,1,320,"BURGLARY, ATTEMPTED",33,"F","W",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest",320,"800    WARREN                       AV",34.0018,-118.4688
231911492,2023-07-11,2023-07-10,1900,19,"Mission",1999,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"7700    VENTURA CANYON               AV",34.2103,-118.4287
200100739,2020-04-21,2020-04-21,1855,1,"Central",174,2,946,"OTHER MISCELLANEOUS CRIME",31,"F","W",101,"STREET","IC","Invest Cont",946,"6TH",34.0426,-118.2528
